Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0805,3,10nF,
CN1,CONN-SMD_2P-P1.00_SHOU-HAN_1.0-2P-WT,1,1.0-2P WT,C2906268
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,D,
R1,0805,1,806k,
R2,0805,1,2M,
"R3, R4",0805,2,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW3, SW4, SW5, SW6, SW8, SW9",Hotswap_MX_1.00u,16,Switch,
SW7,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11,
TP1,TestPoint_Pad_D2.0mm,1,GND,
TP2,TestPoint_Pad_D2.0mm,1,VBAT,
U1,XIAO-nRF52840-SMD Fixed,1,XIAO-nRF52840-SMD,
