Designator,Mid X,Mid Y,Rotation,Layer
C1,177.25,-44.25,0.0,top
C2,176.9125,-47.25,270.0,top
C5,186.5,-64.5,180.0,top
CN1,214.5,-47.25,90.0,top
D1,168.0,-74.0,90.0,bottom
D10,223.75,-64.304,90.0,bottom
D11,223.75,-81.554,90.0,bottom
D12,223.75,-98.75,90.0,bottom
D13,242.25,-73.998,90.0,bottom
D14,242.45,-91.248,90.0,bottom
D15,242.25,-108.498,90.0,bottom
D16,186.75,-125.75,90.0,bottom
D2,168.0,-91.25,90.0,bottom
D3,168.0,-108.5,90.0,bottom
D4,186.75,-74.15,90.0,bottom
D5,186.75,-91.25,90.0,bottom
D6,186.75,-108.5,90.0,bottom
D7,205.25,-64.304,90.0,bottom
D8,205.25,-81.554,90.0,bottom
D9,205.25,-98.75,90.0,bottom
R1,182.75,-47.75,270.0,top
R2,179.6625,-48.25,0.0,top
R3,182.0,-44.25,0.0,top
R4,179.6625,-46.25,0.0,top
SW1,177.15,-73.496,0.0,top
SW10,214.25,-98.302,0.0,top
SW11,232.8,-63.798,0.0,top
SW12,232.8,-81.05,0.0,top
SW13,232.8,-98.302,0.0,top
SW14,251.25,-73.55,0.0,top
SW15,251.25,-90.8,0.0,top
SW16,251.25,-108.05,0.0,top
SW17,195.7,-125.252,0.0,top
SW2,177.15,-90.748,0.0,top
SW3,177.15,-108.0,0.0,top
SW4,195.7,-73.496,0.0,top
SW5,195.7,-90.748,0.0,top
SW6,195.7,-108.0,0.0,top
SW7,175.75,-124.75,0.0,top
SW8,214.25,-63.798,0.0,top
SW9,214.25,-81.05,0.0,top
TP1,214.25,-51.25,0.0,top
TP2,210.75,-51.25,0.0,top
U1,193.7225,-53.5342,0.0,top
